"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Will the price of Bitcoin be above $90,000 on January 21?","Redeem","15","15","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Bitcoin be above $92,000 on January 21?","Redeem","24.57","24.57","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Bitcoin be between $90,000 and $92,000 on January 21?","Redeem","25","25","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 21?","Redeem","34.9933","34.9933","","1769061232","0x17d1805bc8de7130a2ba805a824b15ffe2b584a7afd28b353a677a356f5db596"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 21?","Lost","2.50","5","Yes","1769014800","unredeemed-lost-position-will-the-price-of-bitcoin-be-between-88000-90000-on-january-21-0"
"Will the price of Ethereum be between $2,900 and $3,000 on January 21?","Lost","2.50","5","No","1769014800","unredeemed-lost-position-will-the-price-of-ethereum-be-between-2900-3000-on-january-21-1"
"Will the price of Bitcoin be between $90,000 and $92,000 on January 21?","Lost","2.50","5","Yes","1769014800","unredeemed-lost-position-will-the-price-of-bitcoin-be-between-90000-92000-on-january-21-0"
"Will the price of Ethereum be between $3,000 and $3,100 on January 21?","Lost","2.50","5","Yes","1769014800","unredeemed-lost-position-will-the-price-of-ethereum-be-between-3000-3100-on-january-21-0"
"Will the price of Bitcoin be between $90,000 and $92,000 on January 21?","Merge","5","5","","1769012926","0xcaf4a252c16b6208620bc84fa3e2c8896094f8c80c1e21a6d2650baa0c916ab4"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 21?","Buy","1.5","3","No","1769011536","0xe2736b52a0a81083b5a1eda81dbd1b1226d10674d90ca04ab81e2a8727ad9009"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 21?","Buy","1","2","No","1769011536","0x4c3437f728a9113355c4da5439034708db71b0d6c9b629f5640914e6c4712deb"
"Will the price of Bitcoin be above $88,000 on January 21?","Buy","4.93024","4.97","Yes","1769010580","0xaa67a31916c69fbe6b8b1a8a75d90dc9071538e7c25b4c5622d7d857b5d1ecac"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 20?","Lost","2.76","10","Yes","1768928400","unredeemed-lost-position-will-the-price-of-bitcoin-be-between-88000-90000-on-january-20-0"
"Will the price of Ethereum be between $3,200 and $3,300 on January 20?","Lost","2.50","5","Yes","1768928400","unredeemed-lost-position-will-the-price-of-ethereum-be-between-3200-3300-on-january-20-0"
"Will the price of Ethereum be between $3,000 and $3,100 on January 20?","Lost","2.50","5","No","1768928400","unredeemed-lost-position-will-the-price-of-ethereum-be-between-3000-3100-on-january-20-1"
"Will the price of Bitcoin be above $88,000 on January 20?","Lost","2.50","5","No","1768928400","unredeemed-lost-position-bitcoin-above-88k-on-january-20-1"
"Will the price of Ethereum be between $3,100 and $3,200 on January 20?","Lost","2.50","5","Yes","1768928400","unredeemed-lost-position-will-the-price-of-ethereum-be-between-3100-3200-on-january-20-0"
"Will the price of Bitcoin be between $90,000 and $92,000 on January 20?","Lost","2.50","5","No","1768928400","unredeemed-lost-position-will-the-price-of-bitcoin-be-between-90000-92000-on-january-20-1"
"Will the price of Bitcoin be between $92,000 and $94,000 on January 20?","Lost","2.50","5","Yes","1768928400","unredeemed-lost-position-will-the-price-of-bitcoin-be-between-92000-94000-on-january-20-0"
